date,region,product_category,revenue,units_sold,quarter
2023-07-21,South,Food & Beverages,4700.50,157,Q3
2023-07-27,East,Home & Garden,9300.00,102,Q3
2023-08-03,North,Electronics,19500.25,79,Q3
2023-08-10,West,Clothing,7200.00,103,Q3
2023-08-17,South,Electronics,15300.75,62,Q3
2023-08-24,East,Food & Beverages,6600.00,218,Q3
2023-08-31,North,Home & Garden,8400.50,93,Q3
2023-09-07,West,Electronics,13900.00,57,Q3
2023-09-14,South,Clothing,10100.25,145,Q3
2023-09-21,East,Electronics,17600.00,72,Q3
2023-09-28,North,Food & Beverages,5200.75,172,Q3
2023-10-05,West,Home & Garden,7700.00,85,Q4
2023-10-12,South,Electronics,12300.50,50,Q4
2023-10-19,East,Clothing,11400.00,163,Q4
2023-10-26,North,Electronics,16500.25,67,Q4
2023-11-02,West,Food & Beverages,6100.00,202,Q4
2023-11-09,South,Home & Garden,9100.75,100,Q4
2023-11-16,East,Electronics,14900.00,61,Q4
2023-11-23,North,Clothing,8200.50,118,Q4
2023-11-30,West,Electronics,18400.00,75,Q4
2023-12-07,South,Food & Beverages,5600.25,185,Q4
2023-12-14,East,Home & Garden,10300.00,114,Q4
2023-12-21,North,Electronics,15700.75,64,Q4
2023-12-28,West,Clothing,9500.00,136,Q4
2023-01-07,East,Food & Beverages,4200.50,140,Q1
2023-02-14,North,Electronics,17300.00,70,Q1
2023-03-18,South,Clothing,8900.25,128,Q1
2023-04-21,West,Home & Garden,7300.00,81,Q2
2023-05-19,East,Electronics,16000.75,65,Q2
2023-06-16,North,Food & Beverages,5400.00,178,Q2
2023-07-20,South,Electronics,13700.50,56,Q3
2023-08-14,West,Clothing,10900.00,156,Q3
2023-09-11,East,Home & Garden,8000.25,88,Q3
2023-10-16,North,Electronics,14800.00,60,Q4
2023-11-13,South,Food & Beverages,6300.75,208,Q4
2023-12-10,West,Electronics,19800.50,81,Q4
2023-01-17,East,Clothing,9700.00,139,Q1
2023-02-20,North,Home & Garden,7100.25,79,Q1
2023-03-25,South,Electronics,15200.75,62,Q1
2023-04-29,West,Food & Beverages,5800.00,192,Q2
2023-05-24,East,Electronics,12500.50,51,Q2
2023-06-21,North,Clothing,8300.00,119,Q2
2023-07-19,South,Home & Garden,9600.25,106,Q3
2023-08-23,West,Electronics,17400.00,71,Q3
2023-09-20,East,Food & Beverages,4900.75,162,Q3
2023-10-24,North,Clothing,11200.00,160,Q4
2023-11-21,South,Electronics,16100.50,66,Q4
2023-12-18,West,Home & Garden,8800.25,97,Q4
2023-03-12,East,Electronics,13300.00,54,Q1
2023-06-09,North,Food & Beverages,6700.75,222,Q2
2023-09-06,South,Clothing,9800.50,141,Q3
2023-12-03,West,Electronics,15400.25,63,Q4
